,x_pix,y_pix,ux,uy,Exx,Eyy,Exy,R,Reig,lambda1,width_mm,area_mm2,stress_mpa,frame
2896307,323.0,864.0,19.176108653098456,-0.13448150910669554,4.1094178116321265,-0.30805600192026683,-0.1698559166170316,0.8948778067013327,2.198747661250129,9.231878599326857,3.074,4.9184,0.331206519803188,45.0
2928126,318.0,851.0,6.759216781377626,0.01617347555066928,1.9360809801610435,-0.25229978877664794,-0.06752888538069746,0.19864825148592546,1.7657891552660772,4.876325601721244,3.0634,4.901440000000001,0.16267005308643986,16.0
2913442,322.0,857.0,16.828528305439125,-0.07854842684033914,3.809133051100691,-0.3229827612564691,-0.15121905050193724,0.5502842516905384,2.0930660426801166,8.629319353697507,3.0634,4.901440000000001,0.3013949557681007,40.0
2913391,271.0,857.0,4.655464178803511,-0.02191493200465544,1.3792769018566742,-0.2319299862949929,0.05642881058131317,2.8378422865979007,2.003380565111886,3.7625015456457067,3.0422,4.86752,0.15261136266517653,12.0
2910943,271.0,858.0,7.331860320092698,0.011054594223347092,2.302724475838807,-0.280602408830283,0.07174236753527555,2.6915243510881037,1.5895455304416284,5.609430642005401,3.0422,4.86752,0.17830897150910527,19.0
2913441,321.0,857.0,2.455812810411172,-0.0767959865786676,0.469582683518738,-0.12249503602581041,-0.011404294613702818,0.0,1.1030562161883792,1.9396045314073165,3.0634,4.901440000000001,0.14276416848926027,6.0
2913390,270.0,857.0,9.219640265710133,0.01551661654733305,2.7844333265186747,-0.3010250525891516,0.07901899201964328,2.6449457936699816,1.4660712046462596,6.572911375336915,3.0422,4.86752,0.20159339499375453,24.0
2898751,319.0,863.0,9.165961110204895,-0.01026496919428821,2.630828257452543,-0.2729166532432923,-0.11051798725919061,0.8613210282051537,2.1765087136725887,6.270057103394216,3.0634,4.901440000000001,0.19025044415518702,22.0
2910994,322.0,858.0,13.305726079042877,-0.03299148890738701,3.398744322658756,-0.3123302322593448,-0.15598794176769223,1.026363908889339,2.4026694667257056,7.810578869792002,3.0634,4.901440000000001,0.2491400555755043,32.0
2928128,320.0,851.0,9.991583209308953,0.02884641734180482,2.7973529509849575,-0.27772844450178985,-0.10302729245809725,0.30898271764317936,1.916768056423618,6.601601806989079,3.0634,4.901440000000001,0.20019828499379771,24.0
